name,tank,hour,hours_fish,date,time,sponge_type,sample,RUN
D3.TANKB.08H.WATER,TANKB,28,28,20/10/2020,17:00,WATER,po,3
D3.TANKC.08H.SPONGE.BLACK,TANKC,28,28,20/10/2020,17:00,SP.BLACK,po,4
D3.TANKC.08H.SPONGE.CREAM,TANKC,28,28,20/10/2020,17:00,SP.CREAM,po,4
D3.TANKC.08H.SPONGE.PINK,TANKC,28,28,20/10/2020,17:00,SP.PINK,po,4
D3.TANKC.08H.WATER,TANKC,28,28,20/10/2020,17:00,WATER,po,3
D4.FILT.BLANK,FILT,CONTROL,44,21/10/2020,10:00,C.FL,ne,3
D4.SPONGE.CONTROL,CONTROL,CONTROL,44,21/10/2020,10:00,C.SP,ne,4
D4.SW.BLANK,SW,env,44,21/10/2020,10:00,C.SW,ne,3
D4.TANKA.24H.SPONGE.BLACK,TANKA,44,44,21/10/2020,10:00,SP.BLACK,po,4
D4.TANKA.24H.SPONGE.CREAM,TANKA,44,44,21/10/2020,10:00,SP.CREAM,po,4
D4.TANKA.24H.SPONGE.PINK,TANKA,44,44,21/10/2020,10:00,SP.PINK,po,4
D4.TANKA.24H.WATER,TANKA,44,44,21/10/2020,10:00,WATER,po,3
D4.TANKB.24H.SPONGE.BLACK,TANKB,44,44,21/10/2020,10:00,SP.BLACK,po,4
D4.TANKB.24H.SPONGE.CREAM,TANKB,44,44,21/10/2020,10:00,SP.CREAM,po,4
D4.TANKB.24H.SPONGE.PINK,TANKB,44,44,21/10/2020,10:00,SP.PINK,po,4
D4.TANKB.24H.WATER,TANKB,44,44,21/10/2020,10:00,WATER,po,3
D4.TANKC.24H.SPONGE.BLACK,TANKC,44,44,21/10/2020,10:00,SP.BLACK,po,4
D4.TANKC.24H.SPONGE.CREAM,TANKC,44,44,21/10/2020,10:00,SP.CREAM,po,4
D4.TANKC.24H.SPONGE.PINK,TANKC,44,44,21/10/2020,10:00,SP.PINK,po,4
D4.TANKC.24H.WATER,TANKC,44,44,21/10/2020,10:00,WATER,po,3
D5.FILT.BLANK,FILT,CONTROL,68,22/10/2020,10:00,C.FL,ne,3
D5.SPONGE.CONTROL,CONTROL,CONTROL,68,22/10/2020,10:00,C.SP,ne,4
D5.SW.BLANK,SW,env,68,22/10/2020,10:00,C.SW,ne,3
D5.TANKA.48H.SPONGE.BLACK,TANKA,68,68,22/10/2020,10:00,SP.BLACK,po,4
D5.TANKA.48H.SPONGE.CREAM,TANKA,68,68,22/10/2020,10:00,SP.CREAM,po,4
D5.TANKA.48H.SPONGE.PINK,TANKA,68,68,22/10/2020,10:00,SP.PINK,po,4
D5.TANKA.48H.WATER,TANKA,68,68,22/10/2020,10:00,WATER,po,3
D5.TANKB.48H.SPONGE.BLACK,TANKB,68,68,22/10/2020,10:00,SP.BLACK,po,4
D5.TANKB.48H.SPONGE.CREAM,TANKB,68,68,22/10/2020,10:00,SP.CREAM,po,4
D5.TANKB.48H.SPONGE.PINK,TANKB,68,68,22/10/2020,10:00,SP.PINK,po,4
D5.TANKB.48H.WATER,TANKB,68,68,22/10/2020,10:00,WATER,po,3
D5.TANKC.48H.SPONGE.BLACK,TANKC,68,68,22/10/2020,10:00,SP.BLACK,po,4
D5.TANKC.48H.SPONGE.CREAM,TANKC,68,68,22/10/2020,10:00,SP.CREAM,po,4
D5.TANKC.48H.SPONGE.PINK,TANKC,68,68,22/10/2020,10:00,SP.PINK,po,4
D5.TANKC.48H.WATER,TANKC,68,68,22/10/2020,10:00,WATER,po,3
D6.FILT.BLANK,FILT,CONTROL,92,23/10/2020,10:00,C.FL,ne,3
D6.SPONGE.CONTROL,CONTROL,CONTROL,92,23/10/2020,10:00,C.SP,ne,4
D6.SW.BLANK,SW,env,92,23/10/2020,10:00,C.SW,ne,3
D6.TANKA.72H.SPONGE.BLACK,TANKA,92,92,23/10/2020,10:00,SP.BLACK,po,4
D6.TANKA.72H.SPONGE.CREAM,TANKA,92,92,23/10/2020,10:00,SP.CREAM,po,4
D6.TANKA.72H.SPONGE.PINK,TANKA,92,92,23/10/2020,10:00,SP.PINK,po,4
D6.TANKA.72H.WATER,TANKA,92,92,23/10/2020,10:00,WATER,po,3
D6.TANKB.72H.SPONGE.BLACK,TANKB,92,92,23/10/2020,10:00,SP.BLACK,po,4
D6.TANKB.72H.SPONGE.CREAM,TANKB,92,92,23/10/2020,10:00,SP.CREAM,po,4
D6.TANKB.72H.SPONGE.PINK,TANKB,92,92,23/10/2020,10:00,SP.PINK,po,4
D6.TANKB.72H.WATER,TANKB,92,92,23/10/2020,10:00,WATER,po,3
D6.TANKC.72H.SPONGE.BLACK,TANKC,92,92,23/10/2020,10:00,SP.BLACK,po,4
D6.TANKC.72H.SPONGE.CREAM,TANKC,92,92,23/10/2020,10:00,SP.CREAM,po,4
D6.TANKC.72H.SPONGE.PINK,TANKC,92,92,23/10/2020,10:00,SP.PINK,po,4
D6.TANKC.72H.WATER,TANKC,92,92,23/10/2020,10:00,WATER,po,3
EXT.BLANK.20201105,EXT,CONTROL,NA,NA,NA,C.EX,ne,3
EXT.BLANK.20201106,EXT,CONTROL,NA,NA,NA,C.EX,ne,3
EXT.BLANK.20210607,EXT,CONTROL,NA,NA,NA,C.EX,ne,4
EXT.BLANK.20210608,EXT,CONTROL,NA,NA,NA,C.EX,ne,4
EXT.BLANK.20210609,EXT,CONTROL,NA,NA,NA,C.EX,ne,4
EXT.BLANK.20210610,EXT,CONTROL,NA,NA,NA,C.EX,ne,3
LIB01.PCR.Neg.01,PCR,CONTROL,NA,NA,NA,NA,ne,3
LIB01.PCR.Neg.02,PCR,CONTROL,NA,NA,NA,NA,ne,3
LIB01.PCR.Pos.01,PCR,Pos,NA,NA,NA,NA,po,3
LIB01.PCR.Pos.02,PCR,Pos,NA,NA,NA,NA,po,3
LIB02.PCR.Neg.01,PCR,CONTROL,NA,NA,NA,NA,ne,4
LIB02.PCR.Neg.02,PCR,CONTROL,NA,NA,NA,NA,ne,4
LIB02.PCR.Neg.03,PCR,CONTROL,NA,NA,NA,NA,ne,4
LIB02.PCR.Pos.01,PCR,Pos,NA,NA,NA,NA,po,4
LIB02.PCR.Pos.02,PCR,Pos,NA,NA,NA,NA,po,4
LIB02.PCR.Pos.03,PCR,Pos,NA,NA,NA,NA,po,4
