name,tank,hour,hours_fish,date,time,sponge_type,sample,experiment,RUN
D3.TANKC.00H.WATER,TANKC,0,0,20/10/2020,10:00,WATER,po,tank,3
D3.TANKC.04H.SPONGE.BLACK,TANKC,4,-4,20/10/2020,14:00,SP.BLACK,po,tank,4
D3.TANKC.04H.SPONGE.CREAM,TANKC,4,-4,20/10/2020,14:00,SP.CREAM,po,tank,4
D3.TANKC.04H.SPONGE.PINK,TANKC,4,-4,20/10/2020,14:00,SP.PINK,po,tank,4
D3.TANKC.04H.WATER,TANKC,4,-4,20/10/2020,14:00,WATER,po,tank,3
D3.TANKC.08H.SPONGE.BLACK,TANKC,8,-8,20/10/2020,17:00,SP.BLACK,po,tank,4
D3.TANKC.08H.SPONGE.CREAM,TANKC,8,-8,20/10/2020,17:00,SP.CREAM,po,tank,4
D3.TANKC.08H.SPONGE.PINK,TANKC,8,-8,20/10/2020,17:00,SP.PINK,po,tank,4
D3.TANKC.08H.WATER,TANKC,8,-8,20/10/2020,17:00,WATER,po,tank,3
D4.FILT.BLANK,FILT,CONTROL,-24,21/10/2020,10:00,C.FL,ne,tank,3
D4.SPONGE.CONTROL,CONTROL,CONTROL,-24,21/10/2020,10:00,C.SP,ne,tank,4
D4.SW.BLANK,SW,CONTROL,-24,21/10/2020,10:00,C.SW,ne,tank,3
D4.TANKA.24H.SPONGE.BLACK,TANKA,24,-24,21/10/2020,10:00,SP.BLACK,po,tank,4
D4.TANKA.24H.SPONGE.CREAM,TANKA,24,-24,21/10/2020,10:00,SP.CREAM,po,tank,4
D4.TANKA.24H.SPONGE.PINK,TANKA,24,-24,21/10/2020,10:00,SP.PINK,po,tank,4
D4.TANKA.24H.WATER,TANKA,24,-24,21/10/2020,10:00,WATER,po,tank,3
D4.TANKB.24H.SPONGE.BLACK,TANKB,24,-24,21/10/2020,10:00,SP.BLACK,po,tank,4
D4.TANKB.24H.SPONGE.CREAM,TANKB,24,-24,21/10/2020,10:00,SP.CREAM,po,tank,4
D4.TANKB.24H.SPONGE.PINK,TANKB,24,-24,21/10/2020,10:00,SP.PINK,po,tank,4
D4.TANKB.24H.WATER,TANKB,24,-24,21/10/2020,10:00,WATER,po,tank,3
D4.TANKC.24H.SPONGE.BLACK,TANKC,24,-24,21/10/2020,10:00,SP.BLACK,po,tank,4
D4.TANKC.24H.SPONGE.CREAM,TANKC,24,-24,21/10/2020,10:00,SP.CREAM,po,tank,4
D4.TANKC.24H.SPONGE.PINK,TANKC,24,-24,21/10/2020,10:00,SP.PINK,po,tank,4
D4.TANKC.24H.WATER,TANKC,24,-24,21/10/2020,10:00,WATER,po,tank,3
D5.FILT.BLANK,FILT,CONTROL,-48,22/10/2020,10:00,C.FL,ne,tank,3
D5.REEF.01.SPONGE,REEF,REEF,REEF,22/10/2020,10:00,SPONGE,po,reef,4
D5.REEF.01.WATER,REEF,REEF,REEF,22/10/2020,10:00,WATER,po,reef,3
D5.REEF.02.SPONGE,REEF,REEF,REEF,22/10/2020,10:00,SPONGE,po,reef,4
D5.REEF.02.WATER,REEF,REEF,REEF,22/10/2020,10:00,WATER,po,reef,3
D5.REEF.03.SPONGE,REEF,REEF,REEF,22/10/2020,10:00,SPONGE,po,reef,4
D5.REEF.03.WATER,REEF,REEF,REEF,22/10/2020,10:00,WATER,po,reef,3
D5.SPONGE.CONTROL,CONTROL,CONTROL,-48,22/10/2020,10:00,C.SP,ne,tank,NA
